Day,timestamp,4_churchill_2013_0,4_churchill_2030_45,4_churchill_2030_85,5_columbus_2013_0,5_columbus_2030_45,5_columbus_2030_85,6_cullinane_2013_0,6_cullinane_2030_45,6_cullinane_2030_85,8_dana_2013_0,8_dana_2030_45,8_dana_2030_85,10_dodge_2013_0,10_dodge_2030_45,10_dodge_2030_85,12_ell_2013_0,12_ell_2030_45,12_ell_2030_85,14_forsyth_2013_0,14_forsyth_2030_45,14_forsyth_2030_85,15_hayden_2013_0,15_hayden_2030_45,15_hayden_2030_85,16_holmes_2013_0,16_holmes_2030_45,16_holmes_2030_85,17_hurtig_2013_0,17_hurtig_2030_45,17_hurtig_2030_85,21_lake_2013_0,21_lake_2030_45,21_lake_2030_85,26_power_2013_0,26_power_2030_45,26_power_2030_85,27_richards_2013_0,27_richards_2030_45,27_richards_2030_85,40_westviilageE_2013_0,40_westvillageE_2030_45,40_westvillageE_2030_85
1,1357016400,1.967927817,3.438456462,3.438201907,4.641338132,6.351094766,6.350579776,14.74364472,17.57350673,17.58284803,7.561821148,9.563416537,9.561405537,2.422592109,4.772345249,4.771362249,3.431552488,5.247495752,5.245511752,3.363811541,5.919659554,5.914641554,1.921877015,3.622024115,3.620084115,3.62554543,4.984450528,4.981645528,10.30375288,12.35896189,12.35513989,7.556948807,11.87938293,11.87431793,67.27233226,66.53281075,66.64809975,13.28788003,15.22587089,15.22420489,11.08177759,14.31508914,14.31210614
2,1357102800,2.725860923,3.136249646,3.13763775,6.311707565,6.301444751,6.304253023,18.84230241,17.49742249,17.48808119,8.760332389,9.293217725,9.295228725,4.4037381,4.71869318,4.71967618,5.380543701,5.339208418,5.341192418,4.268322973,5.739231428,5.744249428,3.028379009,3.546294026,3.548234026,5.378914898,4.993947736,4.996752736,11.14520494,12.06608376,12.06990576,10.91888789,11.61257756,11.61764256,81.53757246,64.04991811,63.93462911,15.93498751,15.12683518,15.12850118,13.09995755,13.93547659,13.93845959
3,1357189200,2.836895933,3.176635567,3.152587912,6.537327911,6.40897585,6.36032506,19.14253711,17.02372387,17.23857377,8.823647765,9.465295168,9.419042168,4.878640719,4.651224733,4.628615733,5.61431592,5.383190052,5.337558052,4.677111882,5.993393728,5.877979728,3.144723516,3.551564178,3.506944178,5.366355584,5.069682736,5.005167736,11.87258376,12.52318792,12.43528192,10.9672751,11.63604934,11.51955434,86.82011891,61.13848348,63.79013048,16.58059148,15.12904654,15.09072854,13.80341013,14.01520477,13.94659577
4,1357275600,2.783520632,2.920424028,2.861399477,6.442585088,6.128112084,6.008699566,18.34217124,16.6902942,17.2227483,8.867574248,9.122043084,9.007416084,4.817780799,4.33713265,4.28110165,5.323894606,5.078505236,4.965417236,4.72114905,5.687196652,5.401170652,3.17711009,3.293284934,3.182704934,5.381097527,4.826932833,4.667047833,12.02919974,12.06337932,11.84552532,11.37017267,11.466617,11.177912,71.50388622,59.44823381,66.01970681,16.10900748,14.83486279,14.73990079,13.98127444,14.07329784,13.90326684
5,1357362000,1.900166852,1.525335718,1.535230115,3.84144653,4.079178145,4.099195491,15.76265858,15.33072307,15.23731007,7.552399669,7.785177862,7.805287862,3.884486341,3.618658047,3.628488047,4.633159609,4.405679966,4.425519966,4.040001429,4.674931034,4.725111034,2.079423054,2.249453353,2.268853353,3.805564785,3.300618787,3.328668787,10.46720088,11.26906099,11.30728099,10.18549981,9.900025168,9.950675168,58.99001164,65.01683128,63.86394128,14.36188981,13.42107755,13.43773755,13.67766647,13.24386846,13.27369846
6,1357448400,1.881277971,2.479967696,2.556698885,3.822384528,3.80874227,3.963977072,14.70179043,15.0113834,14.3201272,7.576624777,7.868667422,8.017481422,2.333337984,2.437809733,2.510551733,4.048681834,3.829827972,3.976643972,3.555964778,3.867779245,4.239111245,1.899963901,2.043700499,2.187260499,3.640102325,2.980224106,3.187794106,9.94078456,11.00475662,11.28758462,9.953702619,9.543400011,9.918210011,56.46656448,69.21971778,60.68833178,14.4547768,13.14289529,13.26617929,13.32548769,12.6842527,12.9049947
7,1357534800,3.311039069,3.23891302,3.277176273,6.577211706,6.43577116,6.513181514,17.74111841,17.21467805,16.86904995,9.167235538,9.3949101,9.4693171,4.870086337,4.80979854,4.84616954,5.344739981,5.4749326,5.5483406,4.81256924,5.701125,5.886791,3.478181065,3.658936,3.730716,5.89053632,5.3309178,5.4347028,11.176412,12.258374,12.399788,11.97726084,11.9469358,12.1343408,64.48896583,64.91080778,60.64511478,16.5460565,15.39897428,15.46061628,15.45136868,14.70365214,14.81402314
8,1357621200,3.728542337,3.510777349,3.525600762,6.481896847,6.694943655,6.724932889,17.2506125,17.67008659,17.53930839,9.09136,9.574465363,9.602619363,5.088466372,5.065294479,5.079056479,5.456627154,5.538360842,5.566136842,5.110971555,5.986276753,6.056528753,3.663531661,3.863573571,3.890733571,5.899654446,5.508054567,5.547324567,11.43843503,12.39204386,12.44555186,11.90976241,12.32467867,12.39558867,62.02612649,66.1413619,64.5273159,17.01417868,15.51149566,15.53481966,15.80921828,15.17520136,15.21696336
9,1357707600,3.390791019,3.47301155,3.493657519,6.508215742,6.598714627,6.640483469,17.54434181,18.25254736,18.06572136,9.248286917,9.622998105,9.663218105,5.062268454,4.987608217,5.007268217,5.457942741,5.538685158,5.578365158,5.282642515,5.826116298,5.926476298,3.678560646,3.814453344,3.853253344,5.844869804,5.367689181,5.423789181,11.49837303,12.53093326,12.60737326,12.09142609,12.35743395,12.45873395,64.7382015,70.67733653,68.37155653,16.77186116,15.54279647,15.57611647,16.02135445,15.03345416,15.09311416
10,1357794000,3.294791983,3.443080802,3.444944768,6.463086889,6.609272598,6.613043586,17.34067753,17.85277753,17.83409493,9.326852323,9.683853205,9.687875205,5.008185017,5.306915023,5.308881023,5.343611362,5.559934563,5.563902563,5.362570809,5.881978264,5.892014264,3.714275133,3.806209523,3.810089523,5.802903076,5.36898146,5.37459146,11.47381666,12.45429246,12.46193646,12.30100543,12.26402773,12.27415773,55.50249396,66.97769975,66.74712175,16.76932191,15.45055859,15.45389059,15.69267936,15.09259199,15.09855799
